0,2,NEGATIVE,"Source on this? I don't see how it could possibly favor his or her choice... well, unless you are talking about electoral votes(US)"
0,1,NEGATIVE,"@Nick122 In a parliamentary system like the Norwegian one can essentially give a negative vote to a party by voting for a party that promises not to cooperate with the given party. I don't see that as a bad thing, though."
0,0,NEGATIVE,"Yes, but you will give a negative vote by voting for your candidate as well while even further advancing him."
0,1,NEGATIVE,"Not exactly an answer, but a few thoughts come to mind. One obvious disadvantage is about its non-democratic nature. In places with extraordinary corruption and criminality, mandatory vote could help in cases where people are prevented from voting by criminals with association with some party or candidate. I'm not sure of the chances of that happening, but it's the most common argument in favor of mandatory vote or at least mandatory justification, which is what we have in Brasil."
0,9,NEGATIVE,"Hello! I think this question is asking an important one, but it's currently phrased in a way that solicits opinions rather than concrete answers. I strongly suggest you edit your question into something stronger!"
0,17,NEUTRAL,"Therefore, the [Nolan Chart](http://en.wikipedia.org/wiki/Nolan_Chart) is popular among libertarians. The chart tries to characterize political positions on a two-axis model, one axis being &quot;social authoritarian vs libertarian&quot;, the other &quot;economically left vs right&quot;."
0,2,NEGATIVE,"I've found this video to be helpful in understanding IRV as well:
http://www.youtube.com/watch?v=yP1WG5LUgEk&amp;feature=share&amp;list=UUb8R3tlbcYaE5J5-HUBf7mw"
0,0,NEGATIVE,possible duplicate of [What challenges remain for online voting?](http://politics.stackexchange.com/questions/17/what-challenges-remain-for-online-voting); I think the answers available there would be similar if not exact.
0,0,NEGATIVE,"Which version? because if this is about the meek STV, then it's a duplicate of several meta stackoverflow questions on the topic. If about another style of STV, well... :)"
0,0,NEGATIVE,in 1989? wasn't in 1898?
0,0,NEGATIVE,"I wanted to make all questions in one, to avoid the this is related to.... so closed."
0,0,POSITIVE,@AlbertoBonsanto Oooops!
0,0,NEUTRAL,Of related interest: http://www.telegraph.co.uk/news/politics/9707029/Two-thirds-of-millionaires-left-Britain-to-avoid-50p-tax-rate.html
0,1,NEGATIVE,"I'm not sure if most democratic countries on a worldwide level has recall or not, but it's unusual in Europe, that's fore sure. I've never heard of it outside the USA. The countries that are listed on Wikipedia as having it USA, Canada, Venezuela and Switzerland.  No the Norwegian Wikipedia the Phillipines is also listed. So I'm fairly comfortable saying that most democratic countries do not have it, but I have no authoritative source.  http://en.wikipedia.org/wiki/Recall_election"
0,0,NEGATIVE,"The word &quot;natural&quot; means only &quot;something I like&quot;. There is no objective definition of the word that doesn't end up with either anything or nothing being &quot;natural&quot;. It is therefore a completely subjective question and needs rephrasing. I made an answer anyway, based on &quot;fair&quot; instead of &quot;natural&quot;. As for mathematical models, if you make a model of income distribution where everyone gets exactly the same thing, there will be no economic inequality. That is not &quot;unnatural&quot; it just won't work in practice. :-)"
0,2,NEGATIVE,"@cls: And two dimensions is twice as good as one, but since once dimension is near useless.... :-) The Nolan chart also is very bad because it's still based on the concepts of left and right, which mean nothing. So in fact it only really has one dimension as opposed to zero. Which of course can be claimed to be infinitely better. ;-)"
0,0,NEUTRAL,"@cls: No sorry, I was thinking of the political compass, not the Nolan Chart. The Nolan Chart is OK. It actually has two dimensions."
0,0,NEGATIVE,"Yeah, you should rephrase that (I made an attempt). Inequality in &quot;such a model&quot; would be a stable equilibrium complete dependent on what &quot;such a model&quot; is. It seems now that you are talking specifically about the Persson/Tabellini and Alesina/Rodrik models. That should be made clearer."
0,0,NEUTRAL,Can you please elaborate or reference what language specifically in the 16th ammendment allows for this?
0,1,POSITIVE,I've added the entire text of the amendment to my answer.
